AIN,TOC Dummy,DISC Dummy,cp_filing,cp_complet,cp_approva,permit_num,ladbs_subm,ladbs_perm,ladbs_appr
2350001020,0,1,3/29/2018,2/19/2019,4/25/2019,17010-20000-01916,5/17/2017,3/6/2018,293
2350003059,0,1,4/18/2017,#N/A,12/20/2017,17010-30000-02978,2017-08-03,2018-06-04,305
2350007065,0,1,2/23/2016,8/14/2014,2/28/2017,16010-20000-05094,2016-11-03,2018-03-16,498
2350010016,0,1,11/28/2016,6/7/2017,9/13/2017,16010-20000-06398,12/30/2016,3/6/2018,431
2350012028,0,1,12/14/2007,4/4/2016,5/23/2016,17010-20000-03994,10/13/2017,9/25/2019,712
2353003019,0,1,#N/A,12/1/2016,#N/A,17010-10000-04951,2017-12-18,2018-12-28,375
2353023018,0,1,11/14/2016,4/4/2016,3/8/2017,17010-20000-01435,2017-04-27,2018-10-31,552
2354012049,0,1,4/29/2016,#N/A,6/14/2017,17010-20000-02067,2017-05-26,2018-09-18,480
2355005061,0,1,3/4/2016,5/26/2016,5/27/2016,17010-10000-01370,4/5/2017,1/30/2018,300
2356020011,0,1,11/28/2017,12/21/2017,7/25/2018,17010-10000-05170,12/29/2017,11/9/2018,315
2360021021,0,1,#N/A,11/12/2018,#N/A,17010-20000-02793,2017-07-17,2019-01-09,541
2368004020,0,1,#N/A,6/28/2018,#N/A,16010-10000-05915,2016-12-20,2018-10-17,666
2409003046,0,1,8/30/2017,12/27/2017,1/19/2018,17010-10000-04614,11/21/2017,9/25/2018,308
2419001025,0,1,#N/A,#N/A,#N/A,17010-20000-03808,2017-10-03,2018-11-28,421
2419008017,0,1,#N/A,#N/A,#N/A,16010-10000-00653,2/19/2016,2/13/2019,"1,090"
2424005001,0,1,7/29/2005,#N/A,9/21/2005,13010-10000-03684,2013-12-03,2019-12-02,"2,190"
2530008901,0,1,4/27/2018,4/16/2015,10/5/2018,19010-10000-00734,2019-02-22,2020-01-08,320
2565013040,0,1,1/8/2018,6/11/2018,11/21/2018,18010-20000-06009,12/14/2018,11/21/2019,342
2565015065,0,1,11/19/2018,#N/A,11/19/2018,18010-10000-04255,2018-08-30,2020-02-14,533
2565015119,0,1,5/30/2018,8/2/2005,8/31/2018,17010-20000-04917,2017-12-14,2018-11-01,322
2654022017,0,1,5/12/2014,5/3/2018,7/16/2014,17010-20000-03173,2017-08-18,2018-07-24,340
2654037024,0,1,3/21/2018,5/3/2018,5/11/2018,17010-20000-03717,9/26/2017,10/1/2018,370
2764013011,0,1,11/3/2016,,6/30/2017,18010-10000-01024,2018-03-08,2018-08-22,167
2787017012,0,1,8/31/2015,10/28/2015,9/29/2016,18010-20000-02405,5/22/2018,11/14/2019,541
2787019007,0,1,8/31/2015,10/28/2015,9/29/2016,18010-20000-02403,2018-05-22,2019-11-07,534
4006004011,0,1,2/7/2017,3/8/2017,9/29/2017,17010-10000-01992,5/22/2017,5/23/2018,366
4110001004,0,1,10/10/2017,11/9/2017,10/25/2018,18010-10000-04972,11/5/2018,9/10/2019,309
4110001005,0,1,5/10/2016,6/9/2016,7/7/2017,17010-10000-00045,1/6/2017,12/6/2019,"1,064"
4113001004,0,1,5/3/2013,4/26/2013,5/22/2013,19010-10000-00095,1/14/2019,8/20/2019,218
4217018032,0,1,12/14/2015,1/26/2016,9/12/2016,16010-10000-05035,11/2/2016,4/13/2018,527
4221023034,0,1,#N/A,#N/A,#N/A,18010-20000-04110,8/22/2018,7/29/2019,341
4233020016,0,1,7/20/2018,2/28/2019,4/2/2019,18020-30000-01488,5/22/2018,11/12/2019,539
4233023022,0,1,9/20/2017,10/31/2017,10/18/2018,17010-20000-02925,7/28/2017,1/23/2019,544
4235002015,0,1,10/31/2017,1/9/2018,3/29/2018,18010-20000-05418,11/6/2018,6/4/2019,210
4235026016,0,1,2/11/2014,12/8/2015,5/24/2016,19010-10000-00624,3/11/2019,11/22/2019,256
